Tool,Seq1,Seq2,Inputfile_ID,start_pos1,start_pos2,Insertions,Deletions,Mismatches,Is_Inverse,Seq2_Is_Translocated,Total_Length
mumer,NC_002695.2,CP041955.1,2,2193983,2738575,1,0,31,False,False,437
mumer,NC_002695.2,CP041955.1,2,2198002,2741645,1,21,51,False,False,513
mumer,NC_002695.2,CP041955.1,2,2198613,2742238,1,1,72,False,False,1608
mumer,NC_002695.2,CP041955.1,2,2201302,2744566,7,4,29,False,False,609
mumer,NC_002695.2,CP041955.1,2,2202219,2745487,4,1,98,False,True,1260
mumer,NC_002695.2,CP041955.1,2,2204886,1966373,0,1,28,False,False,797
mumer,NC_002695.2,CP041955.1,2,2206653,4144475,0,0,13,False,True,2071
mumer,NC_002695.2,CP041955.1,2,2209097,1967208,2,3,62,False,False,459
mumer,NC_002695.2,CP041955.1,2,2212836,2711977,0,2,152,False,False,2439
mumer,NC_002695.2,CP041955.1,2,2239709,2734760,0,2,6,False,False,127
mumer,NC_002695.2,CP041955.1,2,2242439,2737441,3,2,155,False,False,1569
mumer,NC_002695.2,CP041955.1,2,2244848,2740524,1,0,14,False,False,182
mumer,NC_002695.2,CP041955.1,2,2247973,2742317,0,0,15,False,False,295
mumer,NC_002695.2,CP041955.1,2,2249648,2743689,1,1,64,False,False,1847
mumer,NC_002695.2,CP041955.1,2,2252861,2746873,1,1,79,False,True,1158
mumer,NC_002695.2,CP041955.1,2,2254995,2565461,1,0,441,False,False,36316
mumer,NC_002695.2,CP041955.1,2,2291309,2601957,3,14,242,False,False,17173
mumer,NC_002695.2,CP041955.1,2,2308439,2618980,97,10,1404,False,False,107630
mumer,NC_002695.2,CP041955.1,2,2416335,2727165,1,2,619,False,False,34009
mumer,NC_002695.2,CP041955.1,2,2451221,2761260,0,1,34,False,True,3100
mumer,NC_002695.2,CP041955.1,2,2454320,2705462,0,0,32,False,True,795
mumer,NC_002695.2,CP041955.1,2,2454320,564187,0,0,32,False,False,795
mumer,NC_002695.2,CP041955.1,2,2455115,567254,0,0,29,False,False,517
mumer,NC_002695.2,CP041955.1,2,2455106,2708519,1,1,29,False,False,525
mumer,NC_002695.2,CP041955.1,2,2455106,2892073,2,1,30,False,True,526
mumer,NC_002695.2,CP041955.1,2,2455106,1985629,2,1,17,False,True,526
mumer,NC_002695.2,CP041955.1,2,2455371,1972703,0,0,6,False,False,261
mumer,NC_002695.2,CP041955.1,2,2455630,2764355,16,4,333,False,False,29279
mumer,NC_002695.2,CP041955.1,2,2485117,2793629,4,9,782,False,False,61184
mumer,NC_002695.2,CP041955.1,2,2546395,2854803,0,0,299,False,False,20617
mumer,NC_002695.2,CP041955.1,2,2567085,2875406,5,4,360,False,True,26079
mumer,NC_002695.2,CP041955.1,2,2604011,2149928,0,0,31,False,False,795
mumer,NC_002695.2,CP041955.1,2,2604011,4291203,0,0,31,False,True,796
mumer,NC_002695.2,CP041955.1,2,2612106,1803249,3,0,4,False,False,1122
mumer,NC_002695.2,CP041955.1,2,2612096,3033362,3,0,6,False,True,1132
mumer,NC_002695.2,CP041955.1,2,2614158,2901360,1,0,185,False,False,10617
mumer,NC_002695.2,CP041955.1,2,2614450,4314594,0,0,0,False,False,76
mumer,NC_002695.2,CP041955.1,2,2614450,4314827,0,0,0,False,True,76
mumer,NC_002695.2,CP041955.1,2,2614450,4314483,0,0,0,False,True,76
mumer,NC_002695.2,CP041955.1,2,2625737,2913195,9,2,200,False,False,7471
mumer,NC_002695.2,CP041955.1,2,2634148,2920959,3,2,168,False,True,1203
mumer,NC_002695.2,CP041955.1,2,2635784,2920641,8,83,522,False,False,23064
mumer,NC_002695.2,CP041955.1,2,2659905,2944574,3,1,134,False,True,8303
mumer,NC_002695.2,CP041955.1,2,2692237,2732450,0,0,76,False,True,533
mumer,NC_002695.2,CP041955.1,2,2694400,2708519,1,1,23,False,False,528
mumer,NC_002695.2,CP041955.1,2,2699712,2737443,2,1,153,False,False,1542
mumer,NC_002695.2,CP041955.1,2,2707448,2744617,24,14,49,False,False,566
mumer,NC_002695.2,CP041955.1,2,2709723,2746873,3,3,153,False,False,1125
mumer,NC_002695.2,CP041955.1,2,2712172,2952815,0,0,81,False,False,4679
mumer,NC_002695.2,CP041955.1,2,2717125,2957471,0,0,24,False,False,239
mumer,NC_002695.2,CP041955.1,2,2717735,2957471,1,0,337,False,True,9641
mumer,NC_002695.2,CP041955.1,2,2727367,1812278,7,1,191,False,False,8280
mumer,NC_002695.2,CP041955.1,2,2727629,3041730,0,0,0,False,True,85
mumer,NC_002695.2,CP041955.1,2,2727630,3039322,0,0,3,False,True,104
mumer,NC_002695.2,CP041955.1,2,2727630,1902209,0,0,2,False,False,104
mumer,NC_002695.2,CP041955.1,2,2729454,3043555,0,0,0,False,True,85
mumer,NC_002695.2,CP041955.1,2,2738085,1820552,0,0,8,False,False,725
mumer,NC_002695.2,CP041955.1,2,2741954,2889015,0,1,33,False,True,798
mumer,NC_002695.2,CP041955.1,2,2741957,564187,0,0,31,False,False,795
mumer,NC_002695.2,CP041955.1,2,2741957,2705462,0,0,31,False,True,795
mumer,NC_002695.2,CP041955.1,2,2742227,1982841,0,0,16,False,False,525
mumer,NC_002695.2,CP041955.1,2,2742743,2892073,2,1,22,False,True,526
mumer,NC_002695.2,CP041955.1,2,2742743,2708519,1,1,21,False,True,527
mumer,NC_002695.2,CP041955.1,2,2742752,567254,0,0,21,False,False,515
mumer,NC_002695.2,CP041955.1,2,2747393,1838450,0,4,57,False,False,956
mumer,NC_002695.2,CP041955.1,2,2747668,4804039,39,1,224,False,True,3051
mumer,NC_002695.2,CP041955.1,2,2748497,1839804,107,4,154,False,False,2771
mumer,NC_002695.2,CP041955.1,2,2751161,2858192,0,0,10,False,True,158
mumer,NC_002695.2,CP041955.1,2,2751320,1846346,0,2,27,False,False,2614
mumer,NC_002695.2,CP041955.1,2,2753926,1850274,0,0,120,False,False,7923
mumer,NC_002695.2,CP041955.1,2,2762054,1858846,0,1,230,False,False,7331
mumer,NC_002695.2,CP041955.1,2,2772061,1874713,3,3,224,False,False,1427
mumer,NC_002695.2,CP041955.1,2,2774742,3285129,1,0,78,False,True,569
mumer,NC_002695.2,CP041955.1,2,2813412,3056855,0,0,68,False,False,1586
mumer,NC_002695.2,CP041955.1,2,2815743,3058892,0,0,67,False,False,3927
mumer,NC_002695.2,CP041955.1,2,2819671,3064273,12,137,1124,False,False,39445
mumer,NC_002695.2,CP041955.1,2,2861376,3103671,10,30,705,False,False,6874
mumer,NC_002695.2,CP041955.1,2,2868528,3110805,1,9,264,False,False,5293
mumer,NC_002695.2,CP041955.1,2,2874142,3116408,4,4,249,False,False,2220
mumer,NC_002695.2,CP041955.1,2,2877754,3120829,6,55,434,False,False,5966
mumer,NC_002695.2,CP041955.1,2,2883831,3126246,1,15,326,False,False,7081
mumer,NC_002695.2,CP041955.1,2,2892221,3133309,0,0,55,False,True,3840
mumer,NC_002695.2,CP041955.1,2,2898137,2711977,1,1,144,False,False,2438
mumer,NC_002695.2,CP041955.1,2,2898137,3733138,6,4,86,False,False,1117
mumer,NC_002695.2,CP041955.1,2,2913883,3747694,3,1,123,False,True,916
mumer,NC_002695.2,CP041955.1,2,2921272,2733374,0,1,10,False,False,264
mumer,NC_002695.2,CP041955.1,2,2924348,2734717,0,0,1,False,False,73
mumer,NC_002695.2,CP041955.1,2,2943915,3137124,0,1,155,False,False,4691
mumer,NC_002695.2,CP041955.1,2,2948708,3141813,1,11,246,False,True,9410
mumer,NC_002695.2,CP041955.1,2,2958176,1747279,0,0,21,False,True,281
mumer,NC_002695.2,CP041955.1,2,2958191,1704664,0,0,28,False,False,262
mumer,NC_002695.2,CP041955.1,2,2958516,3151593,0,0,28,False,False,977
mumer,NC_002695.2,CP041955.1,2,2965681,3152696,0,0,40,False,False,3439
mumer,NC_002695.2,CP041955.1,2,2969117,3156335,0,0,71,False,False,2556
mumer,NC_002695.2,CP041955.1,2,2971861,3158907,17,28,1712,False,False,78197
mumer,NC_002695.2,CP041955.1,2,3050070,3236991,0,0,40,False,False,3005
mumer,NC_002695.2,CP041955.1,2,3053272,3247409,9,15,522,False,False,22308
mumer,NC_002695.2,CP041955.1,2,3077438,3269689,1,0,17,False,False,257
mumer,NC_002695.2,CP041955.1,2,3079406,3269945,0,3,112,False,False,7778
mumer,NC_002695.2,CP041955.1,2,3087126,3277845,1,12,30,False,False,1850
mumer,NC_002695.2,CP041955.1,2,3090283,3279678,4,12,456,False,False,24416
mumer,NC_002695.2,CP041955.1,2,3114958,3305892,4,1,18,False,False,278
mumer,NC_002695.2,CP041955.1,2,3115232,3306495,2,0,34,False,False,991
mumer,NC_002695.2,CP041955.1,2,3116238,3310047,0,0,63,False,False,3042
mumer,NC_002695.2,CP041955.1,2,3119507,3313249,2,2,484,False,False,37815
mumer,NC_002695.2,CP041955.1,2,3157236,4316015,4,3,29,False,True,270
mumer,NC_002695.2,CP041955.1,2,3157400,3350960,2,76,413,False,False,18257
mumer,NC_002695.2,CP041955.1,2,3179055,3372451,6,4,522,False,False,3274
mumer,NC_002695.2,CP041955.1,2,3182875,3376309,3,2,154,False,False,6558
mumer,NC_002695.2,CP041955.1,2,3189432,3384318,0,0,16,False,False,496
mumer,NC_002695.2,CP041955.1,2,3189977,3384671,6,0,124,False,False,3146
mumer,NC_002695.2,CP041955.1,2,3201646,3387794,6,17,743,False,False,40904
mumer,NC_002695.2,CP041955.1,2,3242532,3430018,1,0,65,False,True,3588
mumer,NC_002695.2,CP041955.1,2,3246119,2424668,0,0,44,False,False,1753
mumer,NC_002695.2,CP041955.1,2,3246119,4272874,0,0,41,False,True,1753
mumer,NC_002695.2,CP041955.1,2,3247867,3433606,2,1,28,False,True,2174
mumer,NC_002695.2,CP041955.1,2,3249917,1613863,0,0,0,False,False,119
mumer,NC_002695.2,CP041955.1,2,3250443,3440177,1,12,106,False,False,11788
mumer,NC_002695.2,CP041955.1,2,3262233,3452914,1,0,156,False,False,4979
mumer,NC_002695.2,CP041955.1,2,3267207,3458035,0,0,174,False,False,5652
mumer,NC_002695.2,CP041955.1,2,3272832,3463842,1,0,243,False,False,11819
mumer,NC_002695.2,CP041955.1,2,3284649,3475776,106,52,1023,False,False,76730
mumer,NC_002695.2,CP041955.1,2,3366128,3552477,1,0,127,False,False,8425
mumer,NC_002695.2,CP041955.1,2,3374645,3561314,1,3,105,False,False,8455
mumer,NC_002695.2,CP041955.1,2,3383225,3569955,0,0,433,False,False,21507
mumer,NC_002695.2,CP041955.1,2,3404745,3591610,16,23,474,False,True,30039
mumer,NC_002695.2,CP041955.1,2,3410023,3015316,0,1,15,False,False,141
mumer,NC_002695.2,CP041955.1,2,3434767,3621801,96,17,457,False,False,31890
mumer,NC_002695.2,CP041955.1,2,3446392,4507099,12,1,42,False,True,4950
mumer,NC_002695.2,CP041955.1,2,3446388,4347280,3,10,27,False,False,3251
mumer,NC_002695.2,CP041955.1,2,3446389,4790616,9,1,42,False,True,5359
mumer,NC_002695.2,CP041955.1,2,3446389,3832780,5,1,24,False,False,3252
mumer,NC_002695.2,CP041955.1,2,3447135,4549015,92,2,43,False,False,4696
mumer,NC_002695.2,CP041955.1,2,3447949,4698457,1,1,13,False,True,1688
mumer,NC_002695.2,CP041955.1,2,3449815,4350793,2,1,15,False,True,1743
mumer,NC_002695.2,CP041955.1,2,3449815,3836303,0,1,7,False,False,1741
mumer,NC_002695.2,CP041955.1,2,3449815,4700416,1,1,8,False,True,1925
mumer,NC_002695.2,CP041955.1,2,3466575,3653800,5,1,120,False,False,9528
mumer,NC_002695.2,CP041955.1,2,3476620,3728370,0,0,15,False,True,239
mumer,NC_002695.2,CP041955.1,2,3482132,710434,0,0,6,False,False,1277
mumer,NC_002695.2,CP041955.1,2,3483981,2733335,0,0,46,False,True,547
mumer,NC_002695.2,CP041955.1,2,3490580,1821574,0,0,7,False,False,821
mumer,NC_002695.2,CP041955.1,2,3490576,3051693,0,0,8,False,False,825
mumer,NC_002695.2,CP041955.1,2,3500288,3663324,2,10,639,False,True,22505
mumer,NC_002695.2,CP041955.1,2,3500441,2678419,0,1,9,False,False,355
mumer,NC_002695.2,CP041955.1,2,3505067,2678772,0,1,38,False,False,356
mumer,NC_002695.2,CP041955.1,2,3524885,3685949,1,2,228,False,False,17323
mumer,NC_002695.2,CP041955.1,2,3541933,3703269,2,1,10,False,True,276
mumer,NC_002695.2,CP041955.1,2,3542219,3703103,1,0,10,False,False,188
mumer,NC_002695.2,CP041955.1,2,3542219,3703378,0,0,7,False,False,328
mumer,NC_002695.2,CP041955.1,2,3542527,3703820,8,3,213,False,False,14862
mumer,NC_002695.2,CP041955.1,2,3557375,3718877,35,0,568,False,False,26887
mumer,NC_002695.2,CP041955.1,2,3587163,3751864,6,5,173,False,False,11281
mumer,NC_002695.2,CP041955.1,2,3607558,3772601,7,0,417,False,False,16731
mumer,NC_002695.2,CP041955.1,2,3624315,3789609,0,0,27,False,False,1129
mumer,NC_002695.2,CP041955.1,2,3629038,3791738,6,6,1103,False,False,83990
mumer,NC_002695.2,CP041955.1,2,3713249,3875713,5,14,363,False,False,13615
mumer,NC_002695.2,CP041955.1,2,3735589,3889308,0,0,3,False,False,613
mumer,NC_002695.2,CP041955.1,2,3736186,3891254,5,0,17,False,False,1169
mumer,NC_002695.2,CP041955.1,2,3737441,3901331,0,1,150,False,False,13444
mumer,NC_002695.2,CP041955.1,2,3750857,3914926,2,0,408,False,False,29771
mumer,NC_002695.2,CP041955.1,2,3780597,3944787,0,0,43,False,False,2662
mumer,NC_002695.2,CP041955.1,2,3783378,3948469,1,2,215,False,False,10934
mumer,NC_002695.2,CP041955.1,2,3794437,3959135,46,1,177,False,False,17113
mumer,NC_002695.2,CP041955.1,2,3814944,3976552,0,0,209,False,False,9669
mumer,NC_002695.2,CP041955.1,2,3825548,3986281,2,111,467,False,False,26617
mumer,NC_002695.2,CP041955.1,2,3852039,4344594,0,0,16,False,True,238
mumer,NC_002695.2,CP041955.1,2,3854077,709639,0,0,0,False,False,288
mumer,NC_002695.2,CP041955.1,2,3872879,2883804,0,0,12,False,False,472
mumer,NC_002695.2,CP041955.1,2,3875617,4052678,6,3,436,False,False,32687
mumer,NC_002695.2,CP041955.1,2,3908303,4086289,0,0,41,False,False,3087
mumer,NC_002695.2,CP041955.1,2,3911395,4089968,0,0,6,False,False,1031
mumer,NC_002695.2,CP041955.1,2,3919730,4091050,0,0,199,False,False,11563
mumer,NC_002695.2,CP041955.1,2,3931365,4107740,3,5,764,False,False,39834
mumer,NC_002695.2,CP041955.1,2,3971011,4147284,7,6,462,False,True,21479
mumer,NC_002695.2,CP041955.1,2,3971110,3475596,0,0,17,False,False,184
mumer,NC_002695.2,CP041955.1,2,3992473,4169524,1,0,201,False,False,16983
mumer,NC_002695.2,CP041955.1,2,4009425,4186758,0,0,3,False,False,177
mumer,NC_002695.2,CP041955.1,2,4009425,4186871,0,0,190,False,True,17028
mumer,NC_002695.2,CP041955.1,2,4009455,4186675,0,0,4,False,False,147
mumer,NC_002695.2,CP041955.1,2,4026444,4204667,0,0,124,False,False,6890
mumer,NC_002695.2,CP041955.1,2,4034641,4211906,2,2,470,False,True,38414
mumer,NC_002695.2,CP041955.1,2,4060839,1023492,0,0,0,False,True,77
mumer,NC_002695.2,CP041955.1,2,4060839,1023382,0,0,0,False,True,77
mumer,NC_002695.2,CP041955.1,2,4060839,1023272,0,0,0,False,False,77
mumer,NC_002695.2,CP041955.1,2,4073059,4250470,1,2,63,False,False,6271
mumer,NC_002695.2,CP041955.1,2,4079324,4258394,1,0,317,False,False,23776
mumer,NC_002695.2,CP041955.1,2,4103231,4288130,0,0,17,False,False,286
mumer,NC_002695.2,CP041955.1,2,4103514,4291998,94,3,307,False,False,24076
mumer,NC_002695.2,CP041955.1,2,4127432,4316281,1,0,182,False,False,20343
mumer,NC_002695.2,CP041955.1,2,4149142,4337677,7,56,350,False,False,39460
mumer,NC_002695.2,CP041955.1,2,4158347,4696799,0,0,19,False,True,335
mumer,NC_002695.2,CP041955.1,2,4158342,4548304,0,1,20,False,True,340
mumer,NC_002695.2,CP041955.1,2,4158551,3633429,0,0,3,False,False,131
mumer,NC_002695.2,CP041955.1,2,4158551,4790621,0,0,4,False,True,131
mumer,NC_002695.2,CP041955.1,2,4158551,4507101,0,0,3,False,True,131
mumer,NC_002695.2,CP041955.1,2,4158551,3832785,0,0,4,False,False,131
mumer,NC_002695.2,CP041955.1,2,4158926,3832915,6,3,33,False,False,5223
mumer,NC_002695.2,CP041955.1,2,4159537,4549015,4,1,25,False,False,2505
mumer,NC_002695.2,CP041955.1,2,4160351,4698457,3,2,23,False,True,3702
mumer,NC_002695.2,CP041955.1,2,4162313,3636933,1,1,13,False,False,1738
mumer,NC_002695.2,CP041955.1,2,4162310,4551784,2,0,8,False,False,1742
mumer,NC_002695.2,CP041955.1,2,4162310,4794048,4,1,14,False,True,1744
mumer,NC_002695.2,CP041955.1,2,4162310,4510532,3,4,16,False,True,1836
mumer,NC_002695.2,CP041955.1,2,4190127,4393719,0,10,511,False,False,34816
mumer,NC_002695.2,CP041955.1,2,4190177,4543144,0,0,14,False,True,1186
mumer,NC_002695.2,CP041955.1,2,4224957,4436259,24,2,552,False,False,35265
mumer,NC_002695.2,CP041955.1,2,4260196,4471586,0,0,128,False,False,7835
mumer,NC_002695.2,CP041955.1,2,4268920,4479470,1,1,223,False,False,7950
mumer,NC_002695.2,CP041955.1,2,4279716,4487414,2,0,120,False,False,11878
mumer,NC_002695.2,CP041955.1,2,4295103,4499348,0,2,126,False,False,5907
mumer,NC_002695.2,CP041955.1,2,4302829,4507894,1,4,250,False,False,7468
mumer,NC_002695.2,CP041955.1,2,4311337,4515573,0,0,157,False,False,5647
mumer,NC_002695.2,CP041955.1,2,4317927,4521404,0,3,251,False,False,14359
mumer,NC_002695.2,CP041955.1,2,4347679,4535798,0,0,178,False,False,6039
mumer,NC_002695.2,CP041955.1,2,4360281,4548495,3,14,416,False,False,13516
mumer,NC_002695.2,CP041955.1,2,4373767,4562147,8,8,443,False,False,14694
mumer,NC_002695.2,CP041955.1,2,4397510,4576868,10,22,640,False,True,50700
mumer,NC_002695.2,CP041955.1,2,4408437,2501518,3,3,65,False,False,1507
mumer,NC_002695.2,CP041955.1,2,4448199,4627702,0,2,73,False,False,4408
mumer,NC_002695.2,CP041955.1,2,4458510,4632260,88,45,424,False,False,29611
mumer,NC_002695.2,CP041955.1,2,4488022,4670802,0,0,4,False,False,116
mumer,NC_002695.2,CP041955.1,2,4492159,4670918,0,0,21,False,False,190
mumer,NC_002695.2,CP041955.1,2,4492559,4671102,0,0,115,False,False,5524
mumer,NC_002695.2,CP041955.1,2,4499450,4676625,1,1,145,False,True,9273
mumer,NC_002695.2,CP041955.1,2,4504891,1561660,0,0,85,False,False,3849
mumer,NC_002695.2,CP041955.1,2,4507703,1566343,0,0,21,False,False,1022
mumer,NC_002695.2,CP041955.1,2,4508256,4545255,0,0,10,False,False,442
mumer,NC_002695.2,CP041955.1,2,4508269,4687198,0,1,25,False,False,631
mumer,NC_002695.2,CP041955.1,2,4508891,4688596,1,0,39,False,False,6385
mumer,NC_002695.2,CP041955.1,2,4515277,4695118,0,0,57,False,False,2689
mumer,NC_002695.2,CP041955.1,2,4524057,4697866,12,1,262,False,False,15531
mumer,NC_002695.2,CP041955.1,2,4540897,4713495,0,0,28,False,False,975
mumer,NC_002695.2,CP041955.1,2,4541887,4714603,0,0,78,False,False,1931
mumer,NC_002695.2,CP041955.1,2,4552368,4728247,4,3,115,False,False,9332
mumer,NC_002695.2,CP041955.1,2,4561688,4738893,0,0,2,False,False,90
mumer,NC_002695.2,CP041955.1,2,4561991,4739196,0,0,126,False,False,9278
mumer,NC_002695.2,CP041955.1,2,4572132,4748649,1,1,135,False,False,8989
mumer,NC_002695.2,CP041955.1,2,4581119,4757739,1,0,129,False,False,1232
mumer,NC_002695.2,CP041955.1,2,4583688,4806365,24,6,283,False,True,2428
mumer,NC_002695.2,CP041955.1,2,4583688,1841367,1,2,69,False,False,743
mumer,NC_002695.2,CP041955.1,2,4624425,4810421,3,3,199,False,False,3871
mumer,NC_002695.2,CP041955.1,2,4629133,4814330,6,2,224,False,False,8918
mumer,NC_002695.2,CP041955.1,2,4641402,4823256,1,2,216,False,False,10603
mumer,NC_002695.2,CP041955.1,2,4652496,4833842,0,1,168,False,False,9144
mumer,NC_002695.2,CP041955.1,2,4661701,4847797,0,0,134,False,True,8387
mumer,NC_002695.2,CP041955.1,2,4663942,3308396,0,0,9,False,True,101
mumer,NC_002695.2,CP041955.1,2,4670088,1,0,0,72,False,False,4463
mumer,NC_002695.2,CP041955.1,2,4677178,4615,5,6,251,False,False,8606
mumer,NC_002695.2,CP041955.1,2,4693699,25599,0,0,97,False,False,4765
mumer,NC_002695.2,CP041955.1,2,4705407,30570,51,5,879,False,False,70974
mumer,NC_002695.2,CP041955.1,2,4735011,153808,2,2,11,False,False,1963
mumer,NC_002695.2,CP041955.1,2,4735017,302445,1,0,10,False,False,1968
mumer,NC_002695.2,CP041955.1,2,4735048,1217333,2,3,23,False,True,1938
mumer,NC_002695.2,CP041955.1,2,4776319,101302,0,27,349,False,False,17630
mumer,NC_002695.2,CP041955.1,2,4794960,119033,0,0,26,False,False,2085
mumer,NC_002695.2,CP041955.1,2,4799736,122040,2,1,322,False,False,24018
mumer,NC_002695.2,CP041955.1,2,4823762,146158,2,6,199,False,False,11576
mumer,NC_002695.2,CP041955.1,2,4831569,503584,5,12,49,False,False,5327
mumer,NC_002695.2,CP041955.1,2,4831569,1018076,5,3,40,False,True,5332
mumer,NC_002695.2,CP041955.1,2,4836873,159332,54,11,203,False,False,15672
mumer,NC_002695.2,CP041955.1,2,4852551,175165,2,1,330,False,False,12416
mumer,NC_002695.2,CP041955.1,2,4864956,188637,0,0,11,False,False,264
mumer,NC_002695.2,CP041955.1,2,4866258,189094,72,0,219,False,False,9426
mumer,NC_002695.2,CP041955.1,2,4877658,198519,14,21,311,False,False,14064
mumer,NC_002695.2,CP041955.1,2,4883174,2376334,9,9,236,False,True,1284
mumer,NC_002695.2,CP041955.1,2,4893486,212729,0,0,59,False,False,1320
mumer,NC_002695.2,CP041955.1,2,4894673,214008,0,0,6,False,False,133
mumer,NC_002695.2,CP041955.1,2,4894673,214100,0,0,4,False,False,133
mumer,NC_002695.2,CP041955.1,2,4894673,214192,0,1,150,False,False,11805
mumer,NC_002695.2,CP041955.1,2,4906431,242490,1,96,130,False,False,12509
mumer,NC_002695.2,CP041955.1,2,4920466,254993,0,1,150,False,False,8432
mumer,NC_002695.2,CP041955.1,2,4928990,4542027,0,33,70,False,True,3717
mumer,NC_002695.2,CP041955.1,2,4931698,1566343,1,1,23,False,True,1023
mumer,NC_002695.2,CP041955.1,2,4934418,263431,0,2,34,False,False,639
mumer,NC_002695.2,CP041955.1,2,4935064,264201,1,2,568,False,False,25394
mumer,NC_002695.2,CP041955.1,2,4960356,289738,0,0,119,False,False,7318
mumer,NC_002695.2,CP041955.1,2,4970375,297129,1,3,99,False,True,7287
mumer,NC_002695.2,CP041955.1,2,4975691,153814,2,5,26,False,True,1960
mumer,NC_002695.2,CP041955.1,2,4975691,60180,9,7,56,False,False,5408
mumer,NC_002695.2,CP041955.1,2,4975722,1217333,2,6,35,False,True,1941
mumer,NC_002695.2,CP041955.1,2,4981054,307822,0,2,80,False,False,7722
mumer,NC_002695.2,CP041955.1,2,4984616,2614714,0,0,2,False,False,85
mumer,NC_002695.2,CP041955.1,2,4984616,2615008,0,0,2,False,True,85
mumer,NC_002695.2,CP041955.1,2,4985089,461230,0,0,13,False,True,1186
mumer,NC_002695.2,CP041955.1,2,4988797,315684,71,0,229,False,False,22268
mumer,NC_002695.2,CP041955.1,2,5011457,338436,12,5,205,False,False,10653
mumer,NC_002695.2,CP041955.1,2,5016774,1017982,1,2,11,False,True,1902
mumer,NC_002695.2,CP041955.1,2,5022212,349604,0,1,90,False,False,4887
mumer,NC_002695.2,CP041955.1,2,5026945,354434,0,0,285,False,False,11807
mumer,NC_002695.2,CP041955.1,2,5083838,366336,0,0,27,False,False,906
mumer,NC_002695.2,CP041955.1,2,5084748,367378,3,17,228,False,False,18012
mumer,NC_002695.2,CP041955.1,2,5102725,385432,45,9,594,False,False,25254
mumer,NC_002695.2,CP041955.1,2,5127927,422571,3,4,377,False,False,21221
mumer,NC_002695.2,CP041955.1,2,5149247,443789,0,0,157,False,False,10325
mumer,NC_002695.2,CP041955.1,2,5168946,461249,70,1,181,False,False,5140
mumer,NC_002695.2,CP041955.1,2,5174009,468042,9,2,241,False,False,6960
mumer,NC_002695.2,CP041955.1,2,5180781,474921,0,0,4,False,False,133
mumer,NC_002695.2,CP041955.1,2,5180781,475021,0,0,7,False,False,179
mumer,NC_002695.2,CP041955.1,2,5180781,475121,11,3,475,False,False,48249
mumer,NC_002695.2,CP041955.1,2,5180781,1213134,3,3,17,False,True,182
mumer,NC_002695.2,CP041955.1,2,5217129,843398,0,1,10,False,True,124
mumer,NC_002695.2,CP041955.1,2,5229018,523526,7,0,100,False,False,10701
mumer,NC_002695.2,CP041955.1,2,5239899,534969,0,0,130,False,False,6425
mumer,NC_002695.2,CP041955.1,2,5246322,541513,0,0,240,False,False,17542
mumer,NC_002695.2,CP041955.1,2,5263879,564193,0,1,166,False,False,8919
mumer,NC_002695.2,CP041955.1,2,5273982,573111,3,1,208,False,False,4313
mumer,NC_002695.2,CP041955.1,2,5278305,578026,32,113,749,False,False,36670
mumer,NC_002695.2,CP041955.1,2,5281836,2429764,0,0,42,False,True,1753
mumer,NC_002695.2,CP041955.1,2,5315082,614594,6,39,272,False,False,16608
mumer,NC_002695.2,CP041955.1,2,5331831,631166,0,0,64,False,False,490
mumer,NC_002695.2,CP041955.1,2,5332805,632116,2,3,148,False,False,7161
mumer,NC_002695.2,CP041955.1,2,5340051,639167,2,42,194,False,False,5772
mumer,NC_002695.2,CP041955.1,2,5345911,649987,0,0,38,False,False,1301
mumer,NC_002695.2,CP041955.1,2,5358947,712178,0,0,42,False,False,391
mumer,NC_002695.2,CP041955.1,2,5390822,2248265,1,0,9,False,False,191
mumer,NC_002695.2,CP041955.1,2,5391078,2248608,72,3,23,False,True,540
mumer,NC_002695.2,CP041955.1,2,5391594,712737,0,2,107,False,False,4135
mumer,NC_002695.2,CP041955.1,2,5404558,717637,2,47,235,False,False,11872
mumer,NC_002695.2,CP041955.1,2,5422093,729534,7,7,345,False,False,1978
mumer,NC_002695.2,CP041955.1,2,5426967,731697,9,0,190,False,False,5065
mumer,NC_002695.2,CP041955.1,2,5445700,738321,0,0,47,False,False,3554
mumer,NC_002695.2,CP041955.1,2,5450076,742010,4,4,224,False,False,14582
mumer,NC_002695.2,CP041955.1,2,5464565,756734,4,3,11,False,True,273
mumer,NC_002695.2,CP041955.1,2,5464565,756619,0,0,1,False,False,88
mumer,NC_002695.2,CP041955.1,2,5464566,4754751,0,0,0,False,True,89
mumer,NC_002695.2,CP041955.1,2,5464833,757113,0,0,128,False,False,7775
mumer,NC_002695.2,CP041955.1,2,5472454,765037,25,2,426,False,True,26150
mumer,NC_002695.2,CP041955.1,2,5472454,764835,0,0,9,False,False,182
mumer_Total,NC_002695.2,CP041955.1,2,15396,807911,3567,2822,89031,0,171,4482627
,,,,,,,,
mumer,NC_004431.1,CP041955.1,3,1015,791487,7,6,132,False,False,5263
mumer,NC_004431.1,CP041955.1,3,6281,796846,0,0,67,False,False,4256
mumer,NC_004431.1,CP041955.1,3,10537,1403281,0,0,9,False,False,146
mumer,NC_004431.1,CP041955.1,3,10537,2129401,0,0,8,False,True,136
mumer,NC_004431.1,CP041955.1,3,10537,228484,1,1,10,False,False,151
