/home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_002695/NC_002695.fasta /home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_002695/../r_assembly.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
2727630	2727733	2953975	2953872	104	104	98.08	NC_002695.2	CP041955.1
2729454	2729538	3043555	3043639	85	85	100.00	NC_002695.2	CP041955.1
2738085	2738809	3035632	3034908	725	725	98.90	NC_002695.2	CP041955.1
2741954	2742751	1967169	1966373	798	797	95.74	NC_002695.2	CP041955.1
2741957	2742751	4291997	4291203	795	795	96.10	NC_002695.2	CP041955.1
2741957	2742751	2150722	2149928	795	795	96.10	NC_002695.2	CP041955.1
2742227	2742751	1982841	1983365	525	525	96.95	NC_002695.2	CP041955.1
2742743	2743266	1964111	1963587	524	525	95.25	NC_002695.2	CP041955.1
2742743	2743268	2147665	2147140	526	526	95.64	NC_002695.2	CP041955.1
2742752	2743266	4288930	4288416	515	515	95.92	NC_002695.2	CP041955.1
2747393	2748348	3017734	3016783	956	952	93.62	NC_002695.2	CP041955.1
2747668	2750679	4804039	4807088	3012	3050	91.35	NC_002695.2	CP041955.1
2748497	2751160	3016380	3013614	2664	2767	90.44	NC_002695.2	CP041955.1
2751161	2751318	1997992	1997835	158	158	93.67	NC_002695.2	CP041955.1
2751320	2753933	3009838	3007227	2614	2612	98.89	NC_002695.2	CP041955.1
2753926	2761848	3005910	2997988	7923	7923	98.49	NC_002695.2	CP041955.1
2762054	2769384	2997338	2990009	7331	7330	96.85	NC_002695.2	CP041955.1
2772061	2773484	2981471	2980048	1424	1424	83.88	NC_002695.2	CP041955.1
2774742	2775309	1571055	1570487	568	569	86.12	NC_002695.2	CP041955.1
2813412	2814997	3056855	3058440	1586	1586	95.71	NC_002695.2	CP041955.1
2815743	2819669	3058892	3062818	3927	3927	98.29	NC_002695.2	CP041955.1
2819671	2859103	3064273	3103580	39433	39308	96.77	NC_002695.2	CP041955.1
2861376	2868239	3103671	3110514	6864	6844	89.16	NC_002695.2	CP041955.1
2868528	2873819	3110805	3116088	5292	5284	94.82	NC_002695.2	CP041955.1
2874142	2876357	3116408	3118623	2216	2216	88.42	NC_002695.2	CP041955.1
2877754	2883713	3120829	3126739	5960	5911	91.70	NC_002695.2	CP041955.1
2883831	2890910	3126246	3133311	7080	7066	95.17	NC_002695.2	CP041955.1
2892221	2896060	3133309	3137148	3840	3840	98.57	NC_002695.2	CP041955.1
2898137	2900573	2144207	2141771	2437	2437	94.01	NC_002695.2	CP041955.1
2898137	2899247	1123046	1121934	1111	1113	91.41	NC_002695.2	CP041955.1
2913883	2914795	1108490	1107576	913	915	86.14	NC_002695.2	CP041955.1
2921272	2921535	2122810	2122548	264	263	95.83	NC_002695.2	CP041955.1
2924348	2924420	2121467	2121395	73	73	98.63	NC_002695.2	CP041955.1
2943915	2948605	3137124	3141813	4691	4690	96.67	NC_002695.2	CP041955.1
2948708	2958116	3141813	3151211	9409	9399	97.26	NC_002695.2	CP041955.1
2958176	2958456	1747279	1747559	281	281	92.53	NC_002695.2	CP041955.1
2958191	2958452	3151520	3151259	262	262	89.31	NC_002695.2	CP041955.1
2958516	2959492	3151593	3152569	977	977	97.13	NC_002695.2	CP041955.1
2965681	2969119	3152696	3156134	3439	3439	98.84	NC_002695.2	CP041955.1
2969117	2971672	3156335	3158890	2556	2556	97.22	NC_002695.2	CP041955.1
2971861	3050040	3158907	3237075	78180	78169	97.75	NC_002695.2	CP041955.1
3050070	3053074	3236991	3239995	3005	3005	98.67	NC_002695.2	CP041955.1
3053272	3075570	3247409	3269701	22299	22293	97.55	NC_002695.2	CP041955.1
3077438	3077693	3269689	3269945	256	257	93.00	NC_002695.2	CP041955.1
3079406	3087183	3269945	3277719	7778	7775	98.52	NC_002695.2	CP041955.1
3087126	3088974	3277845	3279682	1849	1838	97.68	NC_002695.2	CP041955.1
3090283	3114694	3279678	3304081	24412	24404	98.07	NC_002695.2	CP041955.1
3114958	3115231	3305892	3306168	274	277	91.73	NC_002695.2	CP041955.1
3115232	3116220	3306495	3307485	989	991	96.37	NC_002695.2	CP041955.1
3116238	3119279	3310047	3313088	3042	3042	97.93	NC_002695.2	CP041955.1
3119507	3157319	3313249	3351061	37813	37813	98.71	NC_002695.2	CP041955.1
3157236	3157501	4316015	4316281	266	267	86.67	NC_002695.2	CP041955.1
3157400	3175654	3350960	3369140	18255	18181	97.31	NC_002695.2	CP041955.1
3179055	3182322	3372451	3375720	3268	3270	83.75	NC_002695.2	CP041955.1
3182875	3189429	3376309	3382864	6555	6556	97.58	NC_002695.2	CP041955.1
3189432	3189927	3384318	3384813	496	496	96.77	NC_002695.2	CP041955.1
3189977	3193116	3384671	3387816	3140	3146	95.87	NC_002695.2	CP041955.1
3201646	3242543	3387794	3428680	40898	40887	98.13	NC_002695.2	CP041955.1
3242532	3246118	3430018	3433605	3587	3588	98.16	NC_002695.2	CP041955.1
3246119	3247871	2431516	2429764	1753	1753	97.49	NC_002695.2	CP041955.1
3246119	3247871	583310	581558	1753	1753	97.66	NC_002695.2	CP041955.1
3247867	3250038	3433606	3435778	2172	2173	98.57	NC_002695.2	CP041955.1
3249917	3250035	1613863	1613981	119	119	100.00	NC_002695.2	CP041955.1
3250443	3262229	3440177	3451952	11787	11776	98.99	NC_002695.2	CP041955.1
3262233	3267210	3452914	3457892	4978	4979	96.85	NC_002695.2	CP041955.1
3267207	3272858	3458035	3463686	5652	5652	96.92	NC_002695.2	CP041955.1
3272832	3284649	3463842	3475660	11818	11819	97.94	NC_002695.2	CP041955.1
3284649	3361272	3475776	3552453	76624	76678	98.46	NC_002695.2	CP041955.1
3366128	3374551	3552477	3560901	8424	8425	98.48	NC_002695.2	CP041955.1
3374645	3383098	3561314	3569765	8454	8452	98.71	NC_002695.2	CP041955.1
3383225	3404731	3569955	3591461	21507	21507	97.99	NC_002695.2	CP041955.1
3404745	3434767	3591610	3621625	30023	30016	98.29	NC_002695.2	CP041955.1
3410023	3410163	1840868	1840729	141	140	88.65	NC_002695.2	CP041955.1
3434767	3466560	3621801	3653673	31794	31873	98.21	NC_002695.2	CP041955.1
3446392	3451329	349085	344137	4938	4949	98.89	NC_002695.2	CP041955.1
3446388	3449635	4347280	4350520	3248	3241	98.77	NC_002695.2	CP041955.1
3446389	3451738	65568	60211	5350	5358	99.03	NC_002695.2	CP041955.1
3446389	3449635	1023404	1020154	3247	3251	99.08	NC_002695.2	CP041955.1
3447135	3451738	307169	302476	4604	4694	97.08	NC_002695.2	CP041955.1
3447949	3449635	157727	156041	1687	1687	99.11	NC_002695.2	CP041955.1
3449815	3451555	4350793	4352534	1741	1742	98.97	NC_002695.2	CP041955.1
3449815	3451555	1019881	1018142	1741	1740	99.54	NC_002695.2	CP041955.1
3449815	3451738	155768	153845	1924	1924	99.48	NC_002695.2	CP041955.1
3466575	3476097	3653800	3663326	9523	9527	98.68	NC_002695.2	CP041955.1
3476620	3476858	1127814	1127576	239	239	93.72	NC_002695.2	CP041955.1
3482132	3483408	710434	711710	1277	1277	99.53	NC_002695.2	CP041955.1
3483981	3484527	2122849	2122303	547	547	91.59	NC_002695.2	CP041955.1
3490580	3491400	3034610	3033790	821	821	99.15	NC_002695.2	CP041955.1
3490576	3491400	3051693	3052517	825	825	99.03	NC_002695.2	CP041955.1
3500288	3522790	3663324	3685818	22503	22495	97.11	NC_002695.2	CP041955.1
3500441	3500795	2177765	2177412	355	354	97.18	NC_002695.2	CP041955.1
3505067	3505422	2177412	2177058	356	355	89.04	NC_002695.2	CP041955.1
3524885	3542206	3685949	3703269	17322	17321	98.67	NC_002695.2	CP041955.1
3541933	3542206	3703269	3703543	274	275	95.29	NC_002695.2	CP041955.1
3542219	3542405	3703103	3703290	187	188	94.15	NC_002695.2	CP041955.1
3542219	3542546	3703378	3703705	328	328	97.87	NC_002695.2	CP041955.1
3542527	3557380	3703820	3718678	14854	14859	98.49	NC_002695.2	CP041955.1
3557375	3584226	3718877	3745763	26852	26887	97.76	NC_002695.2	CP041955.1
3587163	3598437	3751864	3763139	11275	11276	98.37	NC_002695.2	CP041955.1
3607558	3624281	3772601	3789331	16724	16731	97.47	NC_002695.2	CP041955.1
3624315	3625443	3789609	3790737	1129	1129	97.61	NC_002695.2	CP041955.1
3629038	3713021	3791738	3875721	83984	83984	98.67	NC_002695.2	CP041955.1
3713249	3726858	3875713	3889313	13610	13601	97.19	NC_002695.2	CP041955.1
3735589	3736201	3889308	3889920	613	613	99.51	NC_002695.2	CP041955.1
3736186	3737349	3891254	3892422	1164	1169	98.12	NC_002695.2	CP041955.1
3737441	3750884	3901331	3914773	13444	13443	98.88	NC_002695.2	CP041955.1
3750857	3780625	3914926	3944696	29769	29771	98.62	NC_002695.2	CP041955.1
3780597	3783258	3944787	3947448	2662	2662	98.38	NC_002695.2	CP041955.1
3783378	3794310	3948469	3959400	10933	10932	98.01	NC_002695.2	CP041955.1
3794437	3811503	3959135	3976246	17067	17112	98.69	NC_002695.2	CP041955.1
3814944	3824612	3976552	3986220	9669	9669	97.84	NC_002695.2	CP041955.1
3825548	3852162	3986281	4012786	26615	26506	97.82	NC_002695.2	CP041955.1
3852039	3852276	511590	511353	238	238	93.28	NC_002695.2	CP041955.1
3854077	3854364	709639	709926	288	288	100.00	NC_002695.2	CP041955.1
3872879	3873350	1972380	1971909	472	472	97.46	NC_002695.2	CP041955.1
3875617	3908297	4052678	4085361	32681	32684	98.64	NC_002695.2	CP041955.1
3908303	3911389	4086289	4089375	3087	3087	98.67	NC_002695.2	CP041955.1
3911395	3912425	4089968	4090998	1031	1031	99.42	NC_002695.2	CP041955.1
3919730	3931292	4091050	4102612	11563	11563	98.28	NC_002695.2	CP041955.1
3931365	3971195	4107740	4147568	39831	39829	98.06	NC_002695.2	CP041955.1
3971011	3992482	4147284	4168756	21472	21473	97.79	NC_002695.2	CP041955.1
3971110	3971293	3475596	3475779	184	184	90.76	NC_002695.2	CP041955.1
3992473	4009454	4169524	4186506	16982	16983	98.81	NC_002695.2	CP041955.1
4009425	4009601	4186758	4186934	177	177	98.31	NC_002695.2	CP041955.1
4009425	4026452	4186871	4203898	17028	17028	98.88	NC_002695.2	CP041955.1
4009455	4009601	4186675	4186821	147	147	97.28	NC_002695.2	CP041955.1
4026444	4033333	4204667	4211556	6890	6890	98.20	NC_002695.2	CP041955.1
4034641	4073052	4211906	4250317	38412	38412	98.77	NC_002695.2	CP041955.1
4060839	4060915	3832692	3832616	77	77	100.00	NC_002695.2	CP041955.1
4060839	4060915	3832802	3832726	77	77	100.00	NC_002695.2	CP041955.1
4060839	4060915	3832912	3832836	77	77	100.00	NC_002695.2	CP041955.1
4073059	4079328	4250470	4256738	6270	6269	98.95	NC_002695.2	CP041955.1
4079324	4103098	4258394	4282169	23775	23776	98.66	NC_002695.2	CP041955.1
4103231	4103516	4288130	4288415	286	286	94.06	NC_002695.2	CP041955.1
4103514	4127495	4291998	4316070	23982	24073	98.32	NC_002695.2	CP041955.1
4127432	4147773	4316281	4336623	20342	20343	99.10	NC_002695.2	CP041955.1
4149142	4188594	4337677	4377080	39453	39404	98.95	NC_002695.2	CP041955.1
4158347	4158681	159385	159051	335	335	94.33	NC_002695.2	CP041955.1
4158342	4158681	307880	307542	340	339	93.82	NC_002695.2	CP041955.1
4158551	4158681	3633429	3633559	131	131	97.71	NC_002695.2	CP041955.1
4158551	4158681	65563	65433	131	131	96.95	NC_002695.2	CP041955.1
4158551	4158681	349083	348953	131	131	97.71	NC_002695.2	CP041955.1
4158551	4158681	1023399	1023269	131	131	96.95	NC_002695.2	CP041955.1
4158926	4164142	1023269	1018050	5217	5220	99.20	NC_002695.2	CP041955.1
4159537	4162037	307169	304666	2501	2504	98.80	NC_002695.2	CP041955.1
4160351	4164049	157727	154028	3699	3700	99.24	NC_002695.2	CP041955.1
4162313	4164049	3636933	3638669	1737	1737	99.14	NC_002695.2	CP041955.1
4162310	4164049	304400	302659	1740	1742	99.43	NC_002695.2	CP041955.1
4162310	4164049	62136	60394	1740	1743	98.91	NC_002695.2	CP041955.1
4162310	4164142	345652	343821	1833	1832	98.75	NC_002695.2	CP041955.1
4190127	4224942	4393719	4428524	34816	34806	98.50	NC_002695.2	CP041955.1
4190177	4191362	313040	311855	1186	1186	98.82	NC_002695.2	CP041955.1
4224957	4260197	4436259	4471521	35241	35263	98.36	NC_002695.2	CP041955.1
4260196	4268030	4471586	4479420	7835	7835	98.37	NC_002695.2	CP041955.1
4268920	4276868	4479470	4487418	7949	7949	97.17	NC_002695.2	CP041955.1
4279716	4291591	4487414	4499291	11876	11878	98.97	NC_002695.2	CP041955.1
4295103	4301009	4499348	4505252	5907	5905	97.83	NC_002695.2	CP041955.1
4302829	4310295	4507894	4515357	7467	7464	96.59	NC_002695.2	CP041955.1
4311337	4316983	4515573	4521219	5647	5647	97.22	NC_002695.2	CP041955.1
4317927	4332285	4521404	4535759	14359	14356	98.23	NC_002695.2	CP041955.1
4347679	4353717	4535798	4541836	6039	6039	97.05	NC_002695.2	CP041955.1
4360281	4373793	4548495	4561996	13513	13502	96.80	NC_002695.2	CP041955.1
4373767	4388452	4562147	4576832	14686	14686	96.88	NC_002695.2	CP041955.1
4397510	4448199	4576868	4627545	50690	50678	98.67	NC_002695.2	CP041955.1
4408437	4409940	2501518	2503021	1504	1504	95.29	NC_002695.2	CP041955.1
4448199	4452606	4627702	4632107	4408	4406	98.30	NC_002695.2	CP041955.1
4458510	4488032	4632260	4661825	29523	29566	98.12	NC_002695.2	CP041955.1
4488022	4488137	4670802	4670917	116	116	96.55	NC_002695.2	CP041955.1
4492159	4492348	4670918	4671107	190	190	88.95	NC_002695.2	CP041955.1
4492559	4498082	4671102	4676625	5524	5524	97.92	NC_002695.2	CP041955.1
4499450	4508721	4676625	4685896	9272	9272	98.41	NC_002695.2	CP041955.1
4504891	4508739	1561660	1565508	3849	3849	97.79	NC_002695.2	CP041955.1
4507703	4508724	1566343	1567364	1022	1022	97.95	NC_002695.2	CP041955.1
4508256	4508697	4545255	4545696	442	442	97.74	NC_002695.2	CP041955.1
4508269	4508899	4687198	4687827	631	630	95.88	NC_002695.2	CP041955.1
4508891	4515274	4688596	4694980	6384	6385	99.37	NC_002695.2	CP041955.1
4515277	4517965	4695118	4697806	2689	2689	97.88	NC_002695.2	CP041955.1
4524057	4539575	4697866	4713395	15519	15530	98.23	NC_002695.2	CP041955.1
4540897	4541871	4713495	4714469	975	975	97.13	NC_002695.2	CP041955.1
4541887	4543817	4714603	4716533	1931	1931	95.96	NC_002695.2	CP041955.1
4552368	4561695	4728247	4737575	9328	9329	98.69	NC_002695.2	CP041955.1
4561688	4561777	4738893	4738982	90	90	97.78	NC_002695.2	CP041955.1
4561991	4571268	4739196	4748473	9278	9278	98.64	NC_002695.2	CP041955.1
4572132	4581119	4748649	4757636	8988	8988	98.48	NC_002695.2	CP041955.1
4581119	4582349	4757739	4758970	1231	1232	89.45	NC_002695.2	CP041955.1
4583688	4586091	4806365	4808786	2404	2422	87.11	NC_002695.2	CP041955.1
4583688	4584429	3014817	3014077	742	741	90.31	NC_002695.2	CP041955.1
4624425	4628292	4810421	4814288	3868	3868	94.70	NC_002695.2	CP041955.1
4629133	4638044	4814330	4823245	8912	8916	97.40	NC_002695.2	CP041955.1
4641402	4652003	4823256	4833856	10602	10601	97.93	NC_002695.2	CP041955.1
4652496	4661639	4833842	4842984	9144	9143	98.15	NC_002695.2	CP041955.1
4661701	4670087	4847797	4856183	8387	8387	98.40	NC_002695.2	CP041955.1
4663942	4664042	1547788	1547688	101	101	91.09	NC_002695.2	CP041955.1
4670088	4674550	1	4463	4463	4463	98.39	NC_002695.2	CP041955.1
4677178	4685778	4615	13214	8601	8600	96.96	NC_002695.2	CP041955.1
4693699	4698463	25599	30363	4765	4765	97.96	NC_002695.2	CP041955.1
4705407	4776329	30570	101538	70923	70969	98.68	NC_002695.2	CP041955.1
4735011	4736971	153808	155768	1961	1961	99.24	NC_002695.2	CP041955.1
4735017	4736983	302445	304412	1967	1968	99.44	NC_002695.2	CP041955.1
4735048	4736983	3638851	3636917	1936	1935	98.56	NC_002695.2	CP041955.1
4776319	4793948	101302	118904	17630	17603	97.87	NC_002695.2	CP041955.1
4794960	4797044	119033	121117	2085	2085	98.75	NC_002695.2	CP041955.1
4799736	4823751	122040	146056	24016	24017	98.65	NC_002695.2	CP041955.1
4823762	4835335	146158	157727	11574	11570	98.21	NC_002695.2	CP041955.1
4831569	4836890	4352600	4347286	5322	5315	98.76	NC_002695.2	CP041955.1
4831569	4836895	1018076	1023404	5327	5329	99.10	NC_002695.2	CP041955.1
4836873	4852490	159332	174992	15618	15661	98.29	NC_002695.2	CP041955.1
4852551	4864964	175165	187579	12414	12415	97.32	NC_002695.2	CP041955.1
4864956	4865219	188637	188900	264	264	95.83	NC_002695.2	CP041955.1
4866258	4875611	189094	198519	9354	9426	96.91	NC_002695.2	CP041955.1
4877658	4891707	198519	212561	14050	14043	97.54	NC_002695.2	CP041955.1
4883174	4884448	2479850	2478576	1275	1275	80.22	NC_002695.2	CP041955.1
4893486	4894805	212729	214048	1320	1320	95.53	NC_002695.2	CP041955.1
4894673	4894805	214008	214140	133	133	95.49	NC_002695.2	CP041955.1
4894673	4894805	214100	214232	133	133	96.99	NC_002695.2	CP041955.1
4894673	4906477	214192	225995	11805	11804	98.72	NC_002695.2	CP041955.1
4906431	4918938	242490	254902	12508	12413	98.19	NC_002695.2	CP041955.1
4920466	4928897	254993	263423	8432	8431	98.21	NC_002695.2	CP041955.1
4928990	4932706	4542027	4545710	3717	3684	97.23	NC_002695.2	CP041955.1
4931698	4932719	1566343	1567364	1022	1022	97.56	NC_002695.2	CP041955.1
4934418	4935056	263431	264067	639	637	94.37	NC_002695.2	CP041955.1
4935064	4960456	264201	289592	25393	25392	97.75	NC_002695.2	CP041955.1
4960356	4967673	289738	297055	7318	7318	98.37	NC_002695.2	CP041955.1
4970375	4977660	297129	304412	7286	7284	98.59	NC_002695.2	CP041955.1
4975691	4977648	153814	155768	1958	1955	98.32	NC_002695.2	CP041955.1
4975691	4981089	60180	65580	5399	5401	98.67	NC_002695.2	CP041955.1
4975722	4977660	3638851	3636917	1939	1935	97.78	NC_002695.2	CP041955.1
4981054	4988775	307822	315541	7722	7720	98.94	NC_002695.2	CP041955.1
4984616	4984700	2241470	2241386	85	85	97.65	NC_002695.2	CP041955.1
4984616	4984700	2241176	2241092	85	85	97.65	NC_002695.2	CP041955.1
4985089	4986274	4394954	4393769	1186	1186	98.90	NC_002695.2	CP041955.1
4988797	5010993	315684	337951	22197	22268	98.65	NC_002695.2	CP041955.1
5011457	5022097	338436	349083	10641	10648	97.92	NC_002695.2	CP041955.1
5016774	5018674	1017982	1019881	1901	1900	99.26	NC_002695.2	CP041955.1
5022212	5027098	349604	354489	4887	4886	98.14	NC_002695.2	CP041955.1
5026945	5038751	354434	366240	11807	11807	97.59	NC_002695.2	CP041955.1
5083838	5084743	366336	367241	906	906	97.02	NC_002695.2	CP041955.1
5084748	5102756	367378	385372	18009	17995	98.62	NC_002695.2	CP041955.1
5102725	5127933	385432	410676	25209	25245	97.43	NC_002695.2	CP041955.1
5127927	5149144	422571	443787	21218	21217	98.19	NC_002695.2	CP041955.1
5149247	5159571	443789	454113	10325	10325	98.48	NC_002695.2	CP041955.1
5168946	5174015	461249	466387	5070	5139	95.10	NC_002695.2	CP041955.1
5174009	5180959	468042	474999	6951	6958	96.38	NC_002695.2	CP041955.1
5180781	5180913	474921	475053	133	133	96.99	NC_002695.2	CP041955.1
5180781	5180959	475021	475199	179	179	96.09	NC_002695.2	CP041955.1
5180781	5229018	475121	523366	48238	48246	98.99	NC_002695.2	CP041955.1
5180781	5180959	1213134	1213312	179	179	87.36	NC_002695.2	CP041955.1
5217129	5217252	4012786	4012664	124	123	91.13	NC_002695.2	CP041955.1
5229018	5239711	523526	534226	10694	10701	99.00	NC_002695.2	CP041955.1
5239899	5246323	534969	541393	6425	6425	97.98	NC_002695.2	CP041955.1
5246322	5263863	541513	559054	17542	17542	98.63	NC_002695.2	CP041955.1
5263879	5272797	564193	573110	8919	8918	98.13	NC_002695.2	CP041955.1
5273982	5278291	573111	577422	4310	4312	95.08	NC_002695.2	CP041955.1
5278305	5314942	578026	614582	36638	36557	97.56	NC_002695.2	CP041955.1
5281836	5283588	2429764	2431516	1753	1753	97.60	NC_002695.2	CP041955.1
5315082	5331683	614594	631162	16602	16569	98.09	NC_002695.2	CP041955.1
5331831	5332320	631166	631655	490	490	86.94	NC_002695.2	CP041955.1
5332805	5339963	632116	639273	7159	7158	97.86	NC_002695.2	CP041955.1
5340051	5345820	639167	644896	5770	5730	95.88	NC_002695.2	CP041955.1
5345911	5347211	649987	651287	1301	1301	97.08	NC_002695.2	CP041955.1
5358947	5359337	712178	712568	391	391	89.26	NC_002695.2	CP041955.1
5390822	5391011	2248265	2248455	190	191	94.76	NC_002695.2	CP041955.1
5391078	5391545	2248608	2249144	468	537	81.85	NC_002695.2	CP041955.1
5391594	5395728	712737	716869	4135	4133	97.36	NC_002695.2	CP041955.1
5404558	5416427	717637	729461	11870	11825	97.61	NC_002695.2	CP041955.1
5422093	5424063	729534	731504	1971	1971	81.85	NC_002695.2	CP041955.1
5426967	5432022	731697	736761	5056	5065	96.07	NC_002695.2	CP041955.1
5445700	5449253	738321	741874	3554	3554	98.68	NC_002695.2	CP041955.1
5450076	5464653	742010	756587	14578	14578	98.41	NC_002695.2	CP041955.1
5464565	5464833	756734	757003	269	270	93.41	NC_002695.2	CP041955.1
5464565	5464652	756619	756706	88	88	98.86	NC_002695.2	CP041955.1
5464566	5464654	101433	101345	89	89	100.00	NC_002695.2	CP041955.1
5464833	5472607	757113	764887	7775	7775	98.35	NC_002695.2	CP041955.1
5472454	5498578	765037	791184	26125	26148	98.27	NC_002695.2	CP041955.1
5472454	5472635	764835	765016	182	182	95.05	NC_002695.2	CP041955.1
1428125	1428598	79293	79766	474	474	90.08	NC_002695.2	CP041957.1
1306264	1306485	26568	26347	222	222	98.20	NC_002695.2	CP041960.1
1933931	1934228	25698	25995	298	298	94.63	NC_002695.2	CP041960.1
2939851	2940074	25290	25513	224	224	89.73	NC_002695.2	CP041960.1
3246115	3247354	61249	60010	1240	1240	94.76	NC_002695.2	CP041960.1
5282353	5283587	60010	61244	1235	1235	94.82	NC_002695.2	CP041960.1
